Index;Lesion;Filename;ROI
2215;737;ROI 3 - 2D Ellipse;Max_uptake_circle
2216;738;ROI 1 - Free Hand;Norma
2217;738;ROI 2 - Sphere;Max_uptake_sphere
2218;738;ROI 3 - 2D Ellipse;Max_uptake_circle
2219;739;ROI 1 - Free Hand;Norma
2220;739;ROI 2 - Sphere;Max_uptake_sphere
2221;739;ROI 3 - 2D Ellipse;Max_uptake_circle
2222;740;ROI 1 - Free Hand;Norma
2223;740;ROI 2 - Sphere;Max_uptake_sphere
2224;740;ROI 3 - 2D Ellipse;Max_uptake_circle
2225;741;ROI 1 - Free Hand;Norma
2226;741;ROI 2 - Sphere;Max_uptake_sphere
2227;741;ROI 3 - 2D Ellipse;Max_uptake_circle
2228;742;ROI 1 - Free Hand;Norma
2229;742;ROI 2 - Sphere;Max_uptake_sphere
2230;742;ROI 3 - 2D Ellipse;Max_uptake_circle
